"User-ID";"ISBN";"Book-Rating"
"15";"024V";"4"
"136";"055E";"2"
"92";"096V";"3"
"158";"058E";"0"
"47";"078V";"3"
"124";"062E";"1"
"172";"071E";"0"
"143";"073E";"1"
"69";"029V";"4"
"137";"051E";"4"
"25";"088V";"5"
"29";"096V";"1"
"79";"097V";"1"
"95";"094V";"2"
"29";"046V";"2"
"42";"084V";"0"
"108";"023V";"3"
"125";"071E";"5"
"31";"100V";"5"
"168";"074E";"4"
"02";"100V";"2"
"49";"082V";"1"
"102";"096V";"2"
"41";"096V";"2"
"190";"074E";"2"
"36";"081V";"2"
"79";"086V";"0"
"69";"078V";"4"
"93";"009V";"5"
"26";"031V";"3"
"135";"064E";"0"
"13";"002V";"1"
"133";"067E";"5"
"153";"063E";"2"
"89";"087V";"3"
"60";"084V";"0"
"119";"048V";"5"
"100";"082V";"0"
"68";"086V";"4"
"09";"080V";"1"
"61";"042V";"5"
"34";"050V";"3"
"67";"076V";"5"
"38";"005V";"0"
"124";"067E";"3"
"44";"031V";"1"
"177";"075E";"2"
"100";"090V";"0"
"21";"041V";"5"
"139";"053E";"1"
"39";"096V";"4"
"09";"084V";"1"
"72";"094V";"3"
"117";"032V";"3"
"119";"095V";"4"
"38";"014V";"1"
"164";"060E";"5"
"88";"080V";"3"
"108";"040V";"5"
"106";"018V";"5"
"78";"094V";"1"
"118";"081V";"0"
"79";"001V";"5"
"162";"066E";"5"
"87";"079V";"4"
"107";"087V";"4"
"132";"054E";"1"
"95";"094V";"4"
"58";"005V";"4"
"82";"039V";"0"
"11";"038V";"0"
"120";"085V";"2"
"94";"078V";"0"
"95";"090V";"5"
"175";"061E";"0"
"194";"063E";"5"
"89";"004V";"5"
"37";"015V";"1"
"115";"017V";"2"
"110";"080V";"5"
"182";"058E";"0"
"122";"052E";"2"
"108";"032V";"5"
"158";"056E";"3"
"111";"080V";"4"
"112";"038V";"0"
"32";"027V";"2"
"30";"077V";"4"
"193";"063E";"1"
"181";"075E";"5"
"122";"067E";"1"
"71";"003V";"5"
"76";"078V";"2"
"139";"062E";"1"
"170";"059E";"0"
"64";"025V";"3"
"171";"059E";"3"
"77";"003V";"0"
"185";"054E";"2"
"180";"067E";"2"
"152";"056E";"0"
"09";"031V";"2"
"87";"083V";"3"
"148";"073E";"4"
"18";"091V";"4"
"79";"047V";"1"
"108";"008V";"2"
"80";"016V";"5"
"96";"097V";"5"
"84";"093V";"2"
"88";"028V";"4"
"65";"033V";"3"
"69";"083V";"0"
"165";"056E";"2"
"26";"003V";"1"
"197";"071E";"5"
"42";"083V";"1"
"57";"040V";"1"
"43";"090V";"3"
"08";"085V";"4"
"55";"015V";"3"
"31";"083V";"3"
"95";"100V";"1"
"121";"056E";"5"
"112";"042V";"1"
"180";"073E";"1"
"79";"093V";"2"
"70";"085V";"2"
"08";"086V";"4"
"80";"014V";"5"
"107";"091V";"2"
"20";"045V";"5"
"60";"086V";"1"
"199";"059E";"3"
"130";"053E";"1"
"87";"088V";"0"
"105";"094V";"3"
"154";"056E";"3"
"159";"068E";"3"
"117";"014V";"2"
"01";"030V";"4"
"186";"074E";"0"
"130";"063E";"2"
"136";"052E";"1"
"07";"047V";"4"
"40";"092V";"4"
"189";"068E";"5"
"11";"086V";"5"
"36";"097V";"4"
"66";"084V";"5"
"35";"093V";"2"
"17";"091V";"3"
"26";"087V";"0"
"110";"007V";"5"
"196";"055E";"0"
"186";"065E";"3"
"147";"069E";"2"
"02";"015V";"2"
"91";"086V";"0"
"54";"081V";"2"
"62";"010V";"4"
"62";"031V";"5"
"195";"053E";"5"
"53";"091V";"5"
"97";"079V";"2"
"158";"051E";"0"
"93";"088V";"4"
"100";"087V";"1"
"06";"047V";"3"
"149";"065E";"2"
"113";"014V";"4"
"53";"087V";"5"
"131";"059E";"4"
"184";"053E";"0"
"16";"095V";"0"
"54";"026V";"4"
"89";"037V";"4"
"106";"014V";"1"
"08";"037V";"3"
"178";"064E";"2"
"72";"090V";"0"
"190";"061E";"3"
"01";"096V";"0"
"69";"009V";"2"
"198";"058E";"2"
"183";"051E";"2"
"189";"052E";"3"
"150";"058E";"3"
"112";"030V";"0"
"05";"079V";"1"
"47";"083V";"2"
"54";"085V";"0"
"36";"036V";"4"
"91";"047V";"5"
"16";"085V";"2"
"60";"096V";"3"
"144";"069E";"2"
"109";"087V";"3"
"31";"094V";"2"
"194";"067E";"5"
"49";"081V";"5"
"105";"001V";"0"
"104";"079V";"3"
"56";"081V";"3"
"35";"040V";"2"
"43";"017V";"5"
"166";"069E";"2"
"120";"093V";"5"
"180";"065E";"1"
"17";"001V";"4"
"182";"056E";"2"
"79";"029V";"3"
"47";"040V";"4"
"15";"100V";"3"
"115";"096V";"0"
"74";"032V";"2"
"85";"043V";"0"
"164";"052E";"4"
"13";"004V";"3"
"24";"076V";"1"
"110";"090V";"2"
"67";"039V";"4"
"194";"054E";"4"
"56";"048V";"5"
"14";"020V";"2"
"27";"092V";"3"
"185";"066E";"1"
"19";"084V";"5"
"59";"076V";"0"
"53";"027V";"3"
"27";"090V";"4"
"157";"062E";"1"
"17";"082V";"1"
"182";"059E";"3"
"89";"078V";"4"
"62";"080V";"2"
"96";"003V";"1"
"115";"078V";"1"
"129";"066E";"5"
"84";"010V";"1"
"171";"071E";"3"
"187";"068E";"2"
"85";"024V";"1"
"55";"037V";"2"
"146";"069E";"2"
"161";"053E";"4"
"48";"017V";"5"
"113";"009V";"4"
"148";"069E";"5"
"07";"094V";"0"
"35";"076V";"3"
"137";"062E";"3"
"110";"048V";"2"
"105";"092V";"2"
"67";"018V";"1"
"89";"083V";"0"
"164";"071E";"0"
"11";"086V";"4"
"175";"063E";"5"
"192";"062E";"3"
"40";"085V";"1"
"81";"084V";"3"
"42";"012V";"3"
"29";"077V";"3"
"51";"012V";"0"
"145";"059E";"1"
"66";"043V";"5"
"109";"087V";"0"
"105";"044V";"2"
"55";"078V";"2"
"137";"066E";"5"
"187";"053E";"0"
"143";"054E";"4"
"122";"067E";"3"
"91";"033V";"0"
"31";"019V";"2"
"61";"092V";"1"
"79";"043V";"2"
"63";"077V";"2"
"100";"094V";"5"
"96";"083V";"1"
"38";"092V";"2"
"134";"059E";"3"
"22";"017V";"4"
"132";"069E";"2"
"184";"058E";"4"
"05";"085V";"0"
"139";"056E";"4"
"115";"083V";"4"
"87";"092V";"2"
"143";"059E";"1"
"104";"088V";"5"
"61";"005V";"3"
"57";"098V";"5"
"26";"095V";"1"
"79";"047V";"4"
"165";"066E";"0"
"172";"067E";"5"
"173";"064E";"5"
"02";"088V";"1"
"144";"061E";"2"
"81";"045V";"1"
"35";"041V";"3"
"52";"038V";"5"
"01";"092V";"5"
"58";"092V";"5"
"49";"027V";"2"
"193";"057E";"0"
"14";"046V";"4"
"174";"052E";"5"
"168";"074E";"0"
"05";"098V";"3"
"65";"007V";"2"
"09";"032V";"5"
"75";"007V";"5"
"122";"067E";"0"
"04";"019V";"4"
"99";"089V";"1"
"33";"076V";"5"
"101";"090V";"5"
"61";"080V";"4"
"76";"076V";"1"
"40";"015V";"5"
"159";"075E";"1"
"126";"075E";"3"
"58";"006V";"4"
"24";"006V";"5"
"189";"072E";"2"
"31";"001V";"3"
"194";"052E";"0"
"74";"016V";"0"
"105";"083V";"2"
"73";"030V";"3"
"80";"086V";"4"
"52";"090V";"0"
"74";"076V";"2"
"46";"006V";"0"
"100";"025V";"5"
"90";"014V";"2"
"143";"071E";"2"
"34";"039V";"2"
"67";"086V";"1"
"47";"100V";"5"
"86";"084V";"1"
"65";"004V";"5"
"36";"084V";"5"
"166";"062E";"2"
"164";"051E";"3"
"08";"100V";"5"
"13";"081V";"1"
"115";"015V";"0"
"43";"007V";"2"
"172";"071E";"0"
"41";"031V";"5"
"52";"085V";"4"
"21";"050V";"5"
"07";"020V";"4"
"46";"096V";"1"
"55";"086V";"5"
"142";"073E";"5"
"10";"098V";"5"
"21";"083V";"5"
"26";"095V";"1"
"137";"074E";"2"
"199";"052E";"0"
"18";"092V";"2"
"142";"064E";"0"
"26";"098V";"0"
"131";"055E";"0"
"132";"071E";"4"
"100";"014V";"2"
"150";"075E";"3"
"105";"078V";"1"
"194";"073E";"4"
"106";"038V";"3"
"168";"074E";"1"
"37";"009V";"3"
"27";"082V";"1"
"169";"053E";"1"
"142";"060E";"0"
"22";"094V";"5"
"160";"057E";"4"
"46";"001V";"5"
"10";"030V";"0"
"154";"056E";"4"
"01";"081V";"0"
"194";"073E";"4"
"137";"053E";"5"
"174";"056E";"2"
"188";"072E";"2"
"68";"099V";"1"
"103";"007V";"4"
"186";"059E";"4"
"43";"100V";"3"
"83";"078V";"2"
"54";"034V";"1"
"69";"028V";"3"
"145";"066E";"0"
"91";"010V";"5"
"68";"012V";"0"
"37";"029V";"3"
"120";"007V";"1"
"97";"043V";"5"
"79";"095V";"2"
"95";"087V";"2"
"91";"076V";"2"
"87";"079V";"0"
"04";"023V";"4"
"161";"060E";"0"
"61";"047V";"5"
"109";"008V";"0"
"110";"082V";"0"
"17";"080V";"3"
"108";"008V";"2"
"13";"044V";"5"
"120";"046V";"2"
"58";"046V";"3"
"125";"065E";"4"
"144";"073E";"1"
"106";"094V";"3"
"148";"075E";"4"
"158";"056E";"1"
"136";"056E";"1"
"22";"087V";"2"
"195";"061E";"0"
"14";"100V";"4"
"22";"048V";"5"
"109";"036V";"2"
"31";"002V";"2"
"174";"075E";"3"
"09";"046V";"5"
"105";"045V";"4"
"105";"028V";"5"
"84";"034V";"0"
"38";"020V";"1"
"28";"095V";"1"
"10";"001V";"2"
"148";"069E";"5"
"98";"048V";"3"
"109";"043V";"2"
"77";"034V";"2"
"74";"096V";"0"
"165";"051E";"0"
"135";"056E";"4"
"07";"002V";"3"
"193";"061E";"2"
"113";"096V";"3"
"140";"061E";"0"
"144";"058E";"5"
"115";"087V";"1"
"129";"062E";"5"
"52";"007V";"0"
"185";"062E";"4"
"08";"077V";"5"
"57";"009V";"0"
"164";"058E";"0"
"14";"079V";"3"
"87";"093V";"4"
"54";"081V";"2"
"118";"046V";"0"
"45";"079V";"2"
"49";"088V";"5"
"51";"092V";"2"
"192";"059E";"3"
"37";"083V";"3"
"15";"092V";"1"
"170";"056E";"1"
"130";"057E";"0"
"97";"081V";"5"
"44";"090V";"0"
"159";"072E";"4"
"23";"088V";"0"
"115";"095V";"5"
"82";"090V";"5"
"06";"083V";"3"
"189";"062E";"4"
"188";"069E";"3"
"108";"083V";"1"
"79";"008V";"2"
"23";"081V";"3"
"56";"031V";"1"
"182";"051E";"3"
"75";"021V";"1"
"76";"089V";"0"
"19";"007V";"1"
"113";"100V";"0"
"121";"051E";"4"
"63";"045V";"0"
"145";"068E";"3"
"134";"072E";"1"
"15";"014V";"5"
"91";"042V";"2"
"151";"062E";"2"
"180";"073E";"0"
"41";"043V";"1"
"51";"086V";"5"
"188";"052E";"4"
"119";"012V";"0"
"30";"095V";"3"
"106";"077V";"4"
"194";"053E";"1"
"15";"080V";"3"
"112";"087V";"5"
"147";"075E";"4"
"83";"083V";"3"
"136";"055E";"0"
"50";"088V";"0"
"29";"084V";"3"
"115";"095V";"4"
"34";"042V";"1"
"42";"047V";"3"
"169";"056E";"5"
"31";"030V";"3"
"140";"069E";"5"
"188";"060E";"1"
"150";"064E";"4"
"164";"070E";"5"
"29";"038V";"0"
"38";"047V";"0"
"51";"013V";"3"
"13";"032V";"0"
"76";"024V";"2"
"36";"034V";"5"
"78";"090V";"2"
"172";"064E";"1"
"02";"080V";"4"
"19";"024V";"5"
"09";"076V";"1"
"134";"058E";"0"
"62";"004V";"5"
"50";"032V";"3"
"166";"069E";"4"
"118";"032V";"4"
"74";"043V";"3"
"54";"021V";"1"
"58";"079V";"3"
"04";"080V";"1"
"159";"065E";"3"
"199";"073E";"1"
"16";"008V";"2"
"02";"024V";"1"
"135";"073E";"4"
"35";"039V";"0"
"153";"059E";"1"
"62";"009V";"4"
"123";"058E";"2"
"174";"051E";"1"
"07";"093V";"4"
"02";"003V";"2"
"64";"001V";"2"
"82";"017V";"3"
"96";"082V";"3"
"156";"063E";"0"
"37";"091V";"0"
"41";"046V";"2"
"76";"028V";"3"
"79";"085V";"5"
"47";"077V";"3"
"190";"052E";"4"
"161";"062E";"3"
"136";"051E";"1"
"113";"035V";"3"
"108";"033V";"1"
"59";"003V";"3"
"05";"047V";"3"
"184";"051E";"4"
"161";"061E";"2"
"174";"055E";"5"
"100";"085V";"4"
"16";"042V";"1"
"191";"072E";"2"
"14";"098V";"0"
"42";"084V";"5"
"89";"093V";"3"
"127";"053E";"0"
"89";"027V";"1"
"125";"062E";"5"
"200";"062E";"1"
"86";"088V";"1"
"187";"069E";"1"
"186";"071E";"0"
"200";"067E";"0"
"182";"057E";"2"
"59";"096V";"3"
"172";"074E";"1"
"50";"019V";"3"
"48";"032V";"1"
"181";"069E";"1"
"144";"066E";"1"
"63";"043V";"3"
"51";"004V";"5"
"146";"054E";"2"
"114";"037V";"2"
"152";"054E";"3"
"129";"059E";"2"
"16";"034V";"0"
"102";"005V";"4"
"79";"019V";"3"
"78";"036V";"5"
"42";"086V";"2"
"60";"083V";"3"
"150";"066E";"2"
"164";"068E";"4"
"44";"095V";"0"
"54";"093V";"4"
"110";"078V";"1"
"37";"043V";"4"
"196";"068E";"3"
"94";"024V";"4"
"157";"068E";"0"
"46";"096V";"4"
"87";"099V";"5"
"64";"092V";"5"
"101";"082V";"1"
"200";"052E";"3"
"192";"072E";"5"
"172";"065E";"2"
"40";"021V";"2"
"45";"090V";"1"
"69";"024V";"0"
"31";"093V";"0"
"96";"090V";"0"
"102";"098V";"0"
"154";"054E";"2"
"110";"093V";"4"
"17";"094V";"0"
"53";"087V";"4"
"36";"007V";"3"
"195";"051E";"4"
"122";"075E";"1"
"14";"096V";"5"
"57";"085V";"5"
"62";"047V";"3"
"90";"090V";"5"
"128";"066E";"3"
"26";"081V";"3"
"03";"002V";"3"
"17";"017V";"2"
"68";"096V";"3"
"153";"066E";"1"
"83";"015V";"0"
"159";"068E";"2"
"16";"015V";"0"
"14";"001V";"1"
"189";"070E";"5"
"65";"082V";"4"
"166";"075E";"3"
"26";"038V";"1"
"14";"017V";"5"
"89";"005V";"4"
"34";"002V";"2"
"113";"046V";"4"
"105";"042V";"1"
"87";"090V";"4"
"159";"069E";"5"
"128";"051E";"0"
"25";"082V";"4"
"135";"060E";"2"
"200";"058E";"2"
"128";"069E";"4"
"111";"093V";"2"
"109";"048V";"5"
"189";"075E";"1"
"18";"076V";"0"
"44";"084V";"2"
"54";"030V";"1"
"177";"061E";"4"
"111";"085V";"1"
"85";"005V";"3"
"37";"094V";"0"
"108";"040V";"4"
"51";"094V";"3"
"64";"099V";"4"
"138";"057E";"3"
"79";"087V";"0"
"79";"081V";"3"
"02";"097V";"3"
"84";"097V";"2"
"03";"088V";"1"
"12";"015V";"0"
"103";"015V";"2"
"181";"074E";"3"
"43";"044V";"0"
"65";"030V";"2"
"59";"032V";"4"
"60";"094V";"1"
"85";"035V";"2"
"25";"028V";"4"
"67";"100V";"3"
"13";"085V";"2"
"178";"063E";"5"
"13";"076V";"0"
"112";"012V";"5"
"133";"068E";"3"
"45";"004V";"2"
"138";"064E";"1"
"80";"080V";"4"
"53";"044V";"4"
"52";"013V";"2"
"198";"075E";"3"
"186";"052E";"2"
"59";"089V";"0"
"53";"090V";"1"
"94";"022V";"3"
"45";"042V";"1"
"59";"027V";"3"
"127";"065E";"5"
"100";"030V";"5"
"23";"077V";"0"
"09";"045V";"5"
"59";"017V";"2"
"143";"061E";"4"
"12";"092V";"5"
"134";"075E";"2"
"145";"053E";"0"
"181";"074E";"5"
"151";"058E";"1"
"169";"054E";"4"
"80";"030V";"2"
"166";"075E";"5"
"93";"090V";"2"
"196";"074E";"4"
"114";"089V";"4"
"16";"098V";"4"
"179";"072E";"4"
"134";"069E";"2"
"125";"074E";"1"
"169";"075E";"5"
"13";"097V";"0"
"10";"093V";"3"
"73";"080V";"0"
"129";"071E";"0"
"119";"021V";"5"
"124";"058E";"1"
"55";"022V";"3"
"45";"076V";"3"
"168";"075E";"4"
"26";"100V";"1"
"46";"047V";"5"
"25";"030V";"5"
"43";"005V";"2"
"198";"057E";"2"
"171";"069E";"4"
"172";"066E";"4"
"82";"099V";"2"
"140";"071E";"4"
"150";"066E";"2"
"172";"069E";"0"
"62";"032V";"4"
"132";"071E";"2"
"37";"083V";"0"
"177";"052E";"5"
"102";"091V";"0"
"03";"079V";"3"
"108";"099V";"5"
"166";"062E";"2"
"60";"014V";"0"
"179";"059E";"2"
"106";"090V";"0"
"64";"004V";"0"
"199";"058E";"3"
"23";"007V";"4"
"177";"060E";"2"
"183";"053E";"3"
"50";"082V";"0"
"167";"075E";"1"
"20";"028V";"5"
"190";"053E";"4"
"128";"063E";"2"
"77";"079V";"5"
"96";"018V";"4"
"73";"035V";"1"
"08";"096V";"0"
"111";"089V";"1"
"141";"065E";"0"
"41";"093V";"2"
"186";"063E";"0"
"89";"035V";"3"
"83";"095V";"2"
"95";"003V";"0"
"42";"013V";"0"
"174";"052E";"0"
"120";"094V";"1"
"131";"062E";"4"
"70";"084V";"0"
"63";"087V";"0"
"105";"033V";"4"
"149";"060E";"3"
"96";"050V";"1"
"19";"082V";"2"
"45";"083V";"5"
"74";"026V";"3"
"174";"066E";"1"
"44";"041V";"1"
"127";"052E";"5"
"73";"044V";"5"
"81";"080V";"5"
"108";"024V";"3"
"40";"084V";"3"
"01";"049V";"3"
"51";"099V";"4"
"71";"022V";"2"
"89";"099V";"0"
"147";"067E";"5"
"153";"062E";"4"
"140";"073E";"5"
"40";"099V";"3"
"129";"051E";"0"
"14";"093V";"0"
"46";"010V";"3"
"107";"019V";"4"
"176";"058E";"2"
"183";"063E";"3"
"81";"036V";"1"
"45";"095V";"2"
"120";"096V";"2"
"153";"059E";"5"
"166";"063E";"5"
"47";"009V";"0"
"149";"065E";"0"
"30";"004V";"5"
"85";"046V";"4"
"29";"098V";"5"
"53";"049V";"3"
"182";"059E";"2"
"60";"002V";"1"
"131";"058E";"2"
"133";"055E";"0"
"85";"076V";"0"
"25";"001V";"4"
"107";"096V";"2"
"152";"062E";"2"
"76";"096V";"4"
"28";"088V";"1"
"56";"044V";"2"
"124";"061E";"0"
"06";"019V";"5"
"159";"067E";"2"
"124";"067E";"0"
"50";"021V";"2"
"153";"075E";"1"
"132";"066E";"2"
"151";"072E";"1"
"199";"052E";"2"
"152";"070E";"4"
"45";"095V";"0"
"59";"049V";"5"
"106";"044V";"1"
"55";"097V";"3"
"56";"083V";"3"
"92";"017V";"3"
"69";"016V";"5"
"170";"075E";"3"
"77";"018V";"0"
"163";"055E";"3"
"54";"097V";"4"
"145";"070E";"1"
"58";"078V";"5"
"165";"061E";"3"
"186";"063E";"4"
"160";"070E";"2"
"153";"053E";"2"
"199";"064E";"2"
"119";"079V";"1"
"79";"017V";"2"
"134";"057E";"3"
"158";"068E";"4"
"159";"072E";"3"
"153";"060E";"3"
"72";"093V";"2"
"174";"073E";"3"
"148";"057E";"0"
"164";"056E";"0"
"35";"083V";"2"
"137";"066E";"4"
"126";"072E";"1"
"186";"069E";"5"
"166";"060E";"3"
"109";"086V";"3"
"191";"059E";"4"
"118";"084V";"4"
"173";"051E";"2"
"33";"094V";"2"
"16";"098V";"5"
"37";"044V";"4"
"100";"021V";"5"
"198";"059E";"1"
"04";"096V";"5"
"30";"099V";"3"
"121";"052E";"0"
"127";"067E";"3"
"47";"031V";"3"
"73";"096V";"1"
"124";"058E";"0"
"96";"096V";"3"
"03";"037V";"3"
"62";"087V";"3"
"188";"064E";"5"
"108";"090V";"5"
"75";"048V";"2"
"75";"094V";"0"
"24";"099V";"1"
"02";"015V";"2"
"76";"092V";"2"
"05";"082V";"3"
"144";"065E";"5"
"111";"037V";"3"
"21";"078V";"1"
"189";"061E";"3"
"191";"067E";"0"
"33";"076V";"2"
"176";"073E";"4"
"01";"048V";"1"
"58";"099V";"2"
"88";"020V";"1"
"160";"072E";"3"
"100";"016V";"0"
"10";"038V";"5"
"90";"092V";"0"
"165";"072E";"3"
"112";"015V";"5"
"122";"070E";"2"
"114";"082V";"3"
"156";"064E";"4"
"161";"061E";"4"
"94";"007V";"2"
"12";"091V";"1"
"63";"021V";"2"
"184";"072E";"3"
"200";"060E";"5"
"74";"043V";"1"
"72";"080V";"0"
"170";"059E";"5"
"33";"081V";"1"
"91";"048V";"5"
"89";"099V";"5"
"171";"053E";"4"
"139";"055E";"3"
"98";"036V";"1"
"54";"076V";"5"
"53";"039V";"5"
"123";"053E";"3"
"157";"065E";"5"
"55";"090V";"4"
"13";"079V";"3"
"80";"077V";"4"
"33";"049V";"1"
"15";"044V";"1"
"153";"056E";"5"
"94";"034V";"3"
"51";"088V";"0"
"52";"005V";"5"
"46";"009V";"2"
"74";"088V";"5"
"22";"091V";"3"
"115";"027V";"3"
"100";"028V";"4"
"85";"008V";"1"
"160";"061E";"5"
"26";"090V";"1"
"82";"011V";"0"
"179";"057E";"5"
"119";"040V";"0"
"80";"076V";"4"
"25";"081V";"3"
"57";"003V";"1"
"74";"094V";"3"
"139";"069E";"3"
"20";"014V";"1"
"114";"040V";"0"
"84";"021V";"4"
"170";"073E";"0"
"17";"006V";"0"
"163";"066E";"0"
"149";"059E";"4"
"166";"062E";"1"
"177";"051E";"1"
"163";"055E";"5"
"168";"066E";"0"
"160";"064E";"4"
"82";"024V";"0"
"50";"093V";"3"
"04";"003V";"0"
"10";"049V";"2"
"27";"077V";"5"
"100";"088V";"1"
"68";"046V";"1"
"07";"044V";"3"
"77";"049V";"4"
"14";"091V";"0"
"72";"098V";"3"
"137";"066E";"4"
"20";"094V";"5"
"56";"098V";"5"
"189";"054E";"5"
"10";"038V";"2"
"103";"047V";"1"
"185";"052E";"5"
"171";"055E";"0"
"01";"085V";"1"
"01";"015V";"5"
"57";"099V";"2"
"22";"089V";"3"
"190";"073E";"0"
"160";"063E";"4"
"124";"051E";"2"
"52";"007V";"3"
"18";"029V";"1"
"11";"083V";"2"
"188";"054E";"5"
"83";"046V";"4"
"153";"061E";"1"
"108";"092V";"1"
"167";"065E";"4"
"102";"081V";"2"
"57";"028V";"1"
"81";"077V";"0"
"62";"018V";"0"
"24";"087V";"2"
"50";"093V";"0"
"52";"009V";"4"
"131";"060E";"2"
"83";"079V";"0"
"01";"006V";"3"
"179";"069E";"5"
"101";"016V";"4"
"158";"054E";"5"
"20";"093V";"3"
"147";"056E";"4"
"146";"056E";"5"
"107";"012V";"1"
"32";"099V";"2"
"53";"009V";"4"
"11";"100V";"3"
"32";"039V";"4"
"89";"095V";"4"
"99";"085V";"3"
"21";"083V";"4"
"18";"007V";"0"
"175";"075E";"2"
"124";"064E";"1"
"196";"075E";"1"
"27";"014V";"3"
"163";"067E";"5"
"128";"066E";"2"
"38";"043V";"0"
"38";"019V";"0"
"200";"067E";"4"
"157";"069E";"1"
"138";"063E";"0"
"150";"071E";"5"
"45";"080V";"4"
"185";"070E";"0"
"96";"099V";"3"
"124";"067E";"2"
"102";"081V";"2"
"21";"029V";"0"
"52";"082V";"0"
"17";"046V";"0"
"186";"058E";"2"
"94";"001V";"4"
"33";"086V";"5"
"196";"066E";"2"
"44";"010V";"3"
"147";"073E";"5"
"76";"088V";"1"
"37";"091V";"4"
"57";"016V";"0"
"96";"022V";"5"
"08";"020V";"4"
"26";"009V";"2"
"192";"055E";"4"
"45";"094V";"3"
"58";"091V";"2"
"88";"031V";"4"
"102";"090V";"3"
"116";"023V";"3"
"21";"076V";"5"
"78";"080V";"2"
"26";"076V";"2"
"112";"030V";"0"
"53";"037V";"1"
"75";"100V";"5"
"152";"065E";"4"
"130";"057E";"1"
"21";"096V";"1"
"159";"057E";"2"
"05";"034V";"3"
"102";"003V";"4"
"158";"073E";"1"
"02";"099V";"4"
"105";"085V";"2"
"153";"059E";"1"
"123";"054E";"5"
"165";"066E";"2"
"172";"058E";"0"
"52";"097V";"1"
"49";"086V";"2"
"54";"046V";"5"
"108";"004V";"0"
"120";"008V";"2"
"200";"075E";"2"
"45";"083V";"2"
"11";"098V";"5"
"26";"023V";"0"
"117";"011V";"2"
"27";"076V";"5"
"101";"027V";"3"
"26";"017V";"0"
"186";"058E";"1"
"162";"063E";"3"
"113";"024V";"4"
"02";"016V";"4"
"173";"060E";"4"
"10";"083V";"1"
"169";"062E";"3"
"74";"024V";"5"
"151";"074E";"0"
"192";"066E";"3"
"11";"085V";"0"
"42";"086V";"4"
"22";"092V";"1"
"144";"064E";"2"
"114";"076V";"1"
"144";"074E";"5"
"192";"062E";"4"
"48";"015V";"0"
"185";"070E";"1"
"97";"007V";"5"
"100";"092V";"5"
"161";"058E";"1"
"166";"066E";"0"
"13";"077V";"4"
"123";"059E";"1"
"181";"051E";"3"
"68";"080V";"1"
"26";"096V";"3"
"149";"061E";"3"
"124";"066E";"5"
"04";"089V";"4"
"36";"028V";"3"
"116";"013V";"2"
"20";"100V";"3"
"54";"076V";"4"
"72";"036V";"4"
"61";"024V";"5"
"186";"059E";"4"
"175";"072E";"3"
"147";"053E";"1"
"48";"039V";"2"
"27";"047V";"4"
"118";"088V";"5"
